country,sector,ai,lq
Mexico,Data & Analytics,169,0.957
China,Software & IT,1591,0.957
Norway,Biotech & Pharma,104,0.957
Singapore,Software & IT,934,0.956
Estonia,Professional Services,48,0.955
Spain,Software & IT,721,0.953
United Arab Emirates,Media & Marketing,50,0.953
Netherlands,Software & IT,681,0.953
Belgium,Hardware & Manufacturing,42,0.952
United Kingdom,Software & IT,3415,0.951
Czech Republic,Software & IT,144,0.951
Saudi Arabia,Software & IT,196,0.947
Argentina,Software & IT,122,0.946
Chile,Software & IT,201,0.945
Poland,Software & IT,326,0.945
India,Media & Marketing,376,0.942
Ukraine,Software & IT,127,0.941
Saudi Arabia,Biotech & Pharma,129,0.941
Spain,Media & Marketing,73,0.941
United Kingdom,E-commerce & Retail,233,0.939
South Africa,Software & IT,180,0.937
United States,Biotech & Pharma,13971,0.936
Switzerland,Software & IT,597,0.936
Indonesia,Software & IT,157,0.935
United States,Data & Analytics,15412,0.935
South Korea,Software & IT,862,0.93
Italy,Media & Marketing,72,0.929
United Kingdom,Consumer & Lifestyle,101,0.929
Hong Kong,Software & IT,300,0.927
Ireland,Biotech & Pharma,151,0.927
Singapore,Professional Services,202,0.926
Canada,E-commerce & Retail,157,0.924
Canada,Biotech & Pharma,1502,0.923
Israel,Software & IT,1080,0.92
Canada,Data & Analytics,1653,0.92
Estonia,Software & IT,206,0.915
France,Healthcare,162,0.912
Nigeria,Software & IT,136,0.911
Japan,Software & IT,1609,0.908
Canada,Media & Marketing,229,0.908
India,Hardware & Manufacturing,624,0.906
United States,Energy & CleanTech,607,0.902
Nigeria,Biotech & Pharma,89,0.9
Germany,E-commerce & Retail,110,0.899
Canada,Transportation,99,0.897
Taiwan,Software & IT,192,0.895
Italy,Financial Services,84,0.894
India,Security & Privacy,153,0.89
United Kingdom,Transportation,143,0.887
Switzerland,Media & Marketing,58,0.886
Nigeria,Data & Analytics,96,0.88
Netherlands,Financial Services,78,0.878
Austria,Professional Services,41,0.877
Sweden,Professional Services,69,0.875
India,Financial Services,418,0.864
Switzerland,Professional Services,123,0.863
Italy,E-commerce & Retail,45,0.861
United States,Education,1063,0.86
Spain,Healthcare,88,0.855
Mexico,Biotech & Pharma,136,0.851
Spain,Hardware & Manufacturing,111,0.828
Australia,Healthcare,103,0.823
United Kingdom,Hardware & Manufacturing,523,0.822
Germany,Media & Marketing,147,0.809
Turkey,Media & Marketing,43,0.806
Hong Kong,Hardware & Manufacturing,46,0.803
Canada,Education,108,0.801
Sweden,Hardware & Manufacturing,50,0.799
Canada,Security & Privacy,86,0.792
United Arab Emirates,Hardware & Manufacturing,71,0.784
Germany,Consumer & Lifestyle,42,0.784
Singapore,Hardware & Manufacturing,135,0.78
Spain,Financial Services,73,0.776
Brazil,Hardware & Manufacturing,120,0.773
India,Transportation,135,0.773
Israel,Financial Services,112,0.768
India,Consumer & Lifestyle,90,0.764
France,Financial Services,123,0.758
Australia,Hardware & Manufacturing,123,0.755
India,Food & AgTech,43,0.745
Germany,Education,72,0.742
Japan,Real Estate,44,0.742
Germany,Security & Privacy,58,0.741
China,Education,67,0.735
United Kingdom,Healthcare,351,0.718
Brazil,Media & Marketing,64,0.712
Netherlands,Healthcare,69,0.71
Australia,E-commerce & Retail,45,0.708
Hong Kong,Professional Services,51,0.706
Italy,Healthcare,72,0.7
South Korea,Professional Services,141,0.682
Germany,Financial Services,148,0.672
Israel,Professional Services,176,0.672
Germany,Healthcare,161,0.668
Japan,Healthcare,161,0.668
Turkey,Financial Services,43,0.665
Brazil,Healthcare,74,0.62
India,Energy & CleanTech,72,0.62
China,E-commerce & Retail,68,0.592
India,Real Estate,76,0.584
China,Security & Privacy,42,0.572
China,Media & Marketing,97,0.569
Singapore,Healthcare,75,0.564
China,Financial Services,110,0.532
Japan,E-commerce & Retail,65,0.531
Japan,Transportation,41,0.515
South Korea,Financial Services,59,0.512
Japan,Security & Privacy,40,0.511
India,Healthcare,247,0.467
Japan,Financial Services,101,0.458
China,Professional Services,169,0.455
