id,name,t_country,t_city,t_year,bucket,p_country,p_city,p_year,p_team
544524,B2on Tecnologia,Brazil,São Paulo,2008,verified_cb,Brazil,São Paulo,2010.0,51-200
565387,SIGAS Measurement Engineering Co.,China,Changshu,2010,verified_cb,Germany,Berlin,2005.0,51-200
583946,Dustoff Technologies,United States,Saint Augustine,2016,verified_cb,United States,Washington,2008.0,51-200
34761,A2Z SourceTech,India,Bangalore,2011,verified_cb,India,Bangalore,2002.0,201-500
371860,CyberPeace Institute,Switzerland,Genève,2019,verified_cb,Switzerland,Geneva,2019.0,11-50
1543327,Curated Wonder,United States,Morgantown,2022,verified_pb,United States,Charleston,2015.0,11-50
427883,Virtual Dynamic Labs,United States,Sunnyvale,2022,verified_cb,United States,San Francisco,2021.0,11-50
1328696,John Bridgeman,Australia,Spring Hill,2015,verified_pb,United Kingdom,London,2010.0,1-10
1337192,Elephant Oil,United States,Houston,2013,verified_pb,Namibia,Windhoek,2015.0,11-50
1441743,Parallel Tax,United States,Redding,2021,verified_pb,United States,California,2010.0,11-50
190209,Membit,Israel,Tel Aviv,2016,verified_cb,Israel,Tel Aviv,2017.0,51-200
481391,Kaiwang Data,China,Haidian,2022,verified_cb,China,Beijing,2018.0,51-200
1290085,Addock,France,Saint-Jean de Maurienne,2012,verified_pb,France,Paris,2019.0,11-50
1597436,MIA data,Denmark,Hedensted,2017,verified_cb,France,Paris,2018.0,11-50
1517152,Levade,Canada,Puslinch,2018,verified_pb,France,Paris,2019.0,1-10
559621,Illinois Pump,United States,Rolling Meadows,2002,verified_cb,United States,Illinois,1995.0,11-50
1381892,InTheSmart,South Korea,Seoul,2015,verified_pb,Germany,Berlin,2018.0,51-200
244859,Pathfine,Japan,Koto,2005,verified_cb,Unknown,Unknown,2000.0,11-50
94197,QED Naval,United Kingdom,Edinburgh,2008,verified_cb,United Kingdom,Unknown,2010.0,11-50
417205,Uaguria,India,Medinipur,2017,verified_cb,Unknown,Unknown,2015.0,11-50
192811,Tesorion.nl,Netherlands,Leusden,2011,verified_cb,Netherlands,Unknown,2012.0,11-50
1361143,Ahrenkiel Vogemann Bulk,Germany,Hamburg,2013,verified_pb,Germany,Unknown,2000.0,51-200
446849,Ivory,Singapore,Singapore,2021,verified_cb,Unknown,Unknown,2018.0,11-50
228336,Bytesize,Norway,Kongsberg,2006,verified_cb,Unknown,Unknown,2015.0,11-50
462640,Tangle.io,United States,Tampa,2021,verified_cb,Unknown,Unknown,2019.0,11-50
1488128,Norton College,United Kingdom,Worcester,2010,verified_pb,United Kingdom,Tewkesbury,2005.0,51-200
521650,DataExperts,United States,New York,2012,verified_cb,Unknown,Unknown,2016.0,11-50
346129,Impower Platform,United States,Bethesda,2021,verified_cb,United States,San Francisco,2019.0,11-50
1540940,Paklaunch,United States,San Francisco,2020,verified_pb,Pakistan,Karachi,2016.0,11-50
353083,Silja Luoma,Switzerland,Zürich,2018,verified_cb,Finland,Helsinki,2012.0,1-10
629446,WIZniche,United States,Kansas City,2022,verified_cb,United States,Austin,2018.0,11-50
89428,Association of Cloud and Mobile Computing Professionals (ACMCP),Hong Kong,Kowloon City,2014,verified_cb,India,New Delhi,2010.0,11-50
41852,Workrede,United States,Louisville,2011,verified_cb,United States,Chicago,2008.0,51-200
1388996,Lyve (Italy),Italy,Milan,2016,verified_pb,Italy,Milan,2015.0,11-50
386334,City Gate Construction,United Kingdom,Linwood,2003,verified_cb,United Kingdom,London,2010.0,51-200
169163,MILIZE,Japan,Tokyo,2009,verified_cb,South Korea,Seoul,2017.0,11-50
1431449,Provisio Software (Financial Software),Australia,Melbourne,2005,verified_pb,Australia,Sydney,2011.0,51-200
38411,Zaptap,Canada,Fredericton,2010,verified_cb,United States,Unknown,2012.0,11-50
284744,AdamLouis,United States,Wilmington,2013,verified_cb,Philippines,Unknown,2010.0,11-50
261097,Fitsyn CRM,United States,Carlsbad,2019,verified_cb,United States,Unknown,2018.0,11-50
425610,Positiva,Slovenia,Ljubljana,2006,verified_cb,Spain,Unknown,2015.0,1-10
1396109,Kinder Prep Learning Center,United States,Post Falls,2009,verified_pb,United States,Boise,2010.0,11-50
347922,National Council for Special Education,Ireland,Trim,2003,verified_cb,Ireland,Dublin,1999.0,51-200
1307445,Industrial Solutions Management (Ontario),Canada,Azilda,2002,verified_pb,Canada,Ontario,2005.0,11-50
639662,Ratnagiri Refinery & Petrochemicals,India,Mumbai,2017,verified_cb,India,Ratnagiri,2012.0,201-500
193527,Sersys Informatica,Spain,Alcoy,2004,verified_cb,Brazil,Unknown,2008.0,1-10
1513233,Pediatrics Plus,United States,ALMA,2002,verified_pb,United States,Unknown,2008.0,51-200
1429238,Everyday Health,United States,New York,2002,verified_pb,United States,New York,1999.0,201-500
495614,All States Estimating,Australia,Loganholme,2016,verified_cb,United States,Unknown,2010.0,11-50
462122,ITI Solutions,United States,San Antonio,2001,verified_cb,United States,Arlington,2005.0,51-200
80448,YogaMe,Finland,Turku,2012,verified_cb,United States,San Francisco,2012.0,11-50
520059,Emerald Steel Processing,United States,Madison Heights,2001,verified_cb,United States,Unknown,2008.0,51-200
386787,US Medical IT,United States,Allen,2010,verified_cb,United States,Unknown,2010.0,11-50
1464900,Pretio Interactive,Canada,Victoria,2012,verified_pb,United States,New York,2011.0,51-200
481456,Telematiques,United Kingdom,Manchester,2020,verified_cb,United States,Unknown,2008.0,11-50
308910,Intellectual Assets,United States,Portland,2001,verified_cb,United States,Unknown,2005.0,11-50
1432910,Verengo Solar,United States,Torrance,2008,verified_pb,United States,San Jose,2007.0,201-500
263651,Pro Material Solutions,United States,Highland Park,2016,verified_cb,United States,Unknown,2015.0,11-50
484770,TECH Directional Services,Canada,Sudbury,2007,verified_cb,United States,Unknown,2010.0,11-50
1505477,Vegafoods,Hungary,Szeged,2016,verified_pb,Unknown,Unknown,2018.0,11-50
487112,Ripellino Arkitekter,Sweden,Stockholm,2014,verified_cb,Sweden,Stockholm,2012.0,1-10
421585,Private FLITE Charters,United States,Norwell,2010,verified_cb,United States,Unknown,2016.0,11-50
1590938,Castle Global,United States,San Francisco,2012,verified_cb,United States,Palo Alto,2018.0,11-50
514794,International Development Exchange,United Arab Emirates,Deira,2002,verified_cb,United States,Unknown,2008.0,51-200
598690,Botai Biotechnology,China,Shanghai,2019,verified_cb,China,Unknown,2015.0,11-50
520188,Geomeletitiki Consulting Engineers,Greece,Thessaloníki,2017,verified_cb,Greece,Unknown,2008.0,11-50
463467,Avon Partitioning Solutions,United Kingdom,Weston-super-mare,2016,verified_cb,United Kingdom,Unknown,2010.0,11-50
101071,M-Power IT Solutions,India,Pune,2013,verified_cb,United States,Unknown,2010.0,11-50
1373130,North Carolina Tobacco Manufacturing,United States,Stantonsburg,2005,verified_pb,United States,North Carolina,2005.0,51-200
403574,BGFRM Technology,China,Beijing,2021,verified_cb,China,Unknown,2015.0,11-50
478655,ViolinSchool,United Kingdom,London,2012,verified_cb,United Kingdom,London,2015.0,1-10
557944,Life Teck Research Centre,India,Chennai,2004,verified_cb,India,Unknown,2012.0,11-50
368376,Talented Learning,United States,Bloomsburg,2014,verified_cb,United States,Unknown,2010.0,11-50
1398772,Sixth City Distribution,United States,Cleveland,2016,verified_pb,United States,Cleveland,2012.0,11-50
133573,RAPIDMIND TECHNOLOGIES PVT LTD,India,Bengaluru,2018,verified_cb,India,Bangalore,2015.0,11-50
1334470,Local Guddy,Turkey,Istanbul,2016,verified_pb,India,Unknown,2016.0,1-10
467005,CollabKit,United Kingdom,London,2021,verified_cb,United States,Unknown,2022.0,1-10
290160,Argent Minerals,Australia,Perth,2007,verified_cb,Australia,Sydney,2015.0,51-200
1335600,OMV Norge,Norway,Stavanger,2006,verified_pb,Norway,Oslo,1971.0,201-500
1423016,Arawaza USA,United States,Doral,2018,verified_pb,United States,Miami,2010.0,11-50
498964,Auto Legends,United States,Costa Mesa,2022,verified_cb,United States,Los Angeles,2018.0,11-50
1490238,Lyric Bio,United States,Palo Alto,2024,verified_pb,United States,Cambridge,2016.0,51-200
263147,Tekology,United States,Beaverton,2007,verified_cb,United States,Austin,2012.0,11-50
1404659,White Label 360,United Kingdom,Barnsley,2016,verified_pb,United States,Denver,2018.0,11-50
252689,CHAKRI.app,Bangladesh,Dhaka,2019,verified_cb,Bangladesh,Dhaka,2019.0,11-50
400559,i-Tech,United States,Cypress,2000,verified_cb,United States,San Francisco,2015.0,11-50
226499,Enlighture Technology,Nigeria,Ikeja,2017,verified_cb,United States,New York,2014.0,1-10
1444441,Zandra's Taqueria,United States,Manassas,2014,verified_pb,United States,Culpeper,2015.0,11-50
292302,inquirED,United States,Chicago,2017,verified_cb,United States,Chicago,2015.0,11-50
379997,Wool & Water,United States,Chicago,2020,verified_cb,United States,San Francisco,2021.0,11-50
34079,Connectively,United States,New York,2010,verified_cb,United States,Denver,2012.0,51-200
354049,eKRAAL Innovation Hub,Kenya,Nairobi,2018,verified_cb,India,Bangalore,2018.0,51-200
225687,Yondervision,China,Haidian,2007,verified_cb,China,Beijing,2015.0,51-200
1587130,OMNIlife science,United States,East Taunton,1999,verified_cb,United States,Boston,2008.0,51-200
178694,JRG Energy,New Zealand,Taupo,2013,verified_cb,United States,Austin,2010.0,11-50
1483780,Falls Lake Insurance,United States,Raleigh,2004,verified_pb,United States,Raleigh,2005.0,51-200
1525729,Highland Instruments,United States,Braintree,2008,verified_pb,United States,Philadelphia,2016.0,11-50
1320718,SES Foam,United States,Spring,2010,verified_pb,United States,Unknown,2010.0,51-200
1478614,Beauty Bridge,United States,Torrance,2023,verified_pb,Unknown,Unknown,2015.0,11-50
250407,Anira Solutions,United States,Ashburn,2003,verified_cb,Unknown,Unknown,2018.0,11-50
483342,OCTANT Aviation,Canada,Longueuil,2016,verified_cb,United States,Unknown,2008.0,51-200
1365839,Ascent PGM,United States,Chicago,2015,verified_pb,United States,Illinois,2005.0,51-200
395874,Silliker + Partners,United States,Seattle,2010,verified_cb,United States,Unknown,2012.0,11-50
75365,Rencore,Germany,Munich,2015,verified_cb,Unknown,Unknown,2013.0,51-200
184694,ProdegeMR,United States,El Segundo,2009,verified_cb,Unknown,Unknown,2016.0,1-10
387096,Amarac,United States,Chicago,2008,verified_cb,Unknown,Unknown,2010.0,11-50
1366396,Elements Insurance,United States,Boston,2013,verified_pb,United States,Massachusetts,2015.0,1-10
299842,Minemr,United States,Los Angeles,2012,verified_cb,United States,Unknown,2010.0,11-50
1449439,AmberPoint,United States,Oakland,2001,verified_pb,United States,Unknown,2003.0,51-200
1369815,Giant Development,United States,Raleigh,2004,verified_pb,United States,Raleigh,2005.0,11-50
1358771,Phytalytics,United States,Kirkland,2011,verified_pb,United States,Denver,2016.0,11-50
227065,Ventura Tech,United States,San Francisco,2001,verified_cb,United States,Unknown,2010.0,11-50
246120,AutoSweet,United States,Columbus,2002,verified_cb,United States,Unknown,2016.0,11-50
1462416,GlamST,United States,San Francisco,2011,verified_pb,United States,Unknown,2015.0,51-200
428739,Carbotech,Italy,Martinsicuro,2004,verified_cb,Germany,Unknown,1985.0,51-200
1397741,Pensrus,United States,Tallmadge,2001,verified_pb,Nigeria,Lagos,2015.0,11-50
67565,VeloMetro Mobility,Canada,Vancouver,2013,verified_cb,Switzerland,Zurich,2019.0,11-50
294861,Fenturi,United Kingdom,Bristol,2017,verified_cb,Unknown,Unknown,2015.0,11-50
1321489,Laramy-k OpticianWorks,United States,nan,2008,verified_pb,Unknown,Unknown,2010.0,1-10
63584,Bellashoot LLC,United States,West Hollywood,2013,verified_cb,United States,Los Angeles,2013.0,11-50
1509384,CN2 SPATIAL,United States,Atlanta,2008,verified_pb,Unknown,Unknown,2018.0,11-50
1527501,Oat haus,United States,Cleveland,2017,verified_pb,Unknown,Unknown,2016.0,11-50
1609797,Fit Squad,Sri Lanka,Colombo,2021,verified_cb,Unknown,Unknown,2019.0,11-50
105516,Halo Board,United States,North Hollywood,2014,verified_cb,Unknown,Unknown,2012.0,11-50
