university,short_name,domain,state,has_program,program_name,program_url,portfolio_url,discovery_method,confidence,notes,checked_date
Michigan State University,msu,msu.edu,MI,YES,Michigan State University Entrepreneurship,https://entrepreneurship.msu.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
New York University,nyu,nyu.edu,NY,YES,New York University Entrepreneurship,https://www.nyu.edu/entrepreneurship,https://www.nyu.edu/entrepreneurship/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
North Carolina State University,ncsu,ncsu.edu,NC,YES,North Carolina State University Entrepreneurship,https://entrepreneurship.ncsu.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Northeastern University,northeastern,northeastern.edu,MA,YES,Northeastern University Entrepreneurship,https://entrepreneurship.northeastern.edu,https://entrepreneurship.northeastern.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
Northwestern University,northwestern,northwestern.edu,IL,YES,Northwestern University Innovation,https://www.northwestern.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Ohio State University,osu,osu.edu,OH,YES,Ohio State University Entrepreneurship,https://entrepreneurship.osu.edu,https://entrepreneurship.osu.edu/companies,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Pennsylvania State University,psu,psu.edu,PA,YES,Pennsylvania State University Accelerator,https://accelerator.psu.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Purdue University,purdue,purdue.edu,IN,YES,Purdue University Entrepreneurship,https://www.purdue.edu/entrepreneurship,https://www.purdue.edu/entrepreneurship/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Rice University,rice,rice.edu,TX,YES,Rice University Innovation,https://innovation.rice.edu,,url_pattern,MEDIUM,"Found 4 innovation URLs, no portfolio found",2026-02-24
Rutgers University,rutgers,rutgers.edu,NJ,YES,Rutgers University Entrepreneurship,https://entrepreneurship.rutgers.edu,https://entrepreneurship.rutgers.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Stanford University,stanford,stanford.edu,CA,YES,StartX,https://startx.com,https://startx.com/companies,known_database,HIGH,Known program without API,2026-02-24
Texas A&M University,tamu,tamu.edu,TX,YES,Texas A&M University Entrepreneurship,https://entrepreneurship.tamu.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Arizona,arizona,arizona.edu,AZ,YES,University of Arizona Entrepreneurship,https://entrepreneurship.arizona.edu,https://entrepreneurship.arizona.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Arkansas,uark,uark.edu,AR,YES,University of Arkansas Innovation,https://innovation.uark.edu,https://innovation.uark.edu/portfolio,url_pattern,HIGH,"Found 5 innovation URLs, has portfolio",2026-02-24
University of California Berkeley,berkeley,berkeley.edu,CA,YES,Berkeley SkyDeck,https://skydeck.berkeley.edu,https://skydeck.berkeley.edu/portfolio,known_database,HIGH,Known program with API,2026-02-24
University of California Davis,ucdavis,ucdavis.edu,CA,YES,University of California Davis Startup Program,https://startup.ucdavis.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of California Irvine,uci,uci.edu,CA,YES,University of California Irvine Innovation,https://innovation.uci.edu,https://innovation.uci.edu/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of California Los Angeles,ucla,ucla.edu,CA,YES,University of California Los Angeles Ventures,https://ventures.ucla.edu,https://ventures.ucla.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of California San Diego,ucsd,ucsd.edu,CA,YES,University of California San Diego Innovation,https://innovation.ucsd.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of California Santa Barbara,ucsb,ucsb.edu,CA,YES,University of California Santa Barbara Innovation,https://innovation.ucsb.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Chicago,uchicago,uchicago.edu,IL,YES,University of Chicago Innovation,https://innovation.uchicago.edu,https://innovation.uchicago.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Colorado Boulder,colorado,colorado.edu,CO,YES,University of Colorado Boulder Entrepreneurship,https://www.colorado.edu/entrepreneurship,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Connecticut,uconn,uconn.edu,CT,YES,University of Connecticut Innovation,https://innovation.uconn.edu,https://innovation.uconn.edu/companies,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Delaware,udel,udel.edu,DE,YES,University of Delaware Entrepreneurship,https://www.udel.edu/entrepreneurship,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Georgia,uga,uga.edu,GA,YES,University of Georgia Innovation,https://innovation.uga.edu,,url_pattern,MEDIUM,"Found 5 innovation URLs, no portfolio found",2026-02-24
University of Illinois Urbana-Champaign,illinois,illinois.edu,IL,YES,University of Illinois Urbana-Champaign Entrepreneurship,https://entrepreneurship.illinois.edu,https://entrepreneurship.illinois.edu/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Iowa,uiowa,uiowa.edu,IA,YES,University of Iowa Innovation,https://innovation.uiowa.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Kansas,ku,ku.edu,KS,YES,University of Kansas Innovation,https://innovation.ku.edu,https://innovation.ku.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Maine,umaine,umaine.edu,ME,YES,University of Maine Innovation,https://www.umaine.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Maryland,umd,umd.edu,MD,YES,University of Maryland Innovation,https://innovation.umd.edu,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
University of Michigan,umich,umich.edu,MI,YES,University of Michigan Entrepreneurship,https://entrepreneurship.umich.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Minnesota,umn,umn.edu,MN,YES,University of Minnesota Innovation,https://innovation.umn.edu,,url_pattern,MEDIUM,"Found 3 innovation URLs, no portfolio found",2026-02-24
University of Missouri,missouri,missouri.edu,MO,YES,University of Missouri Entrepreneurship,https://entrepreneurship.missouri.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Nebraska,unl,unl.edu,NE,YES,University of Nebraska Entrepreneurship,https://entrepreneurship.unl.edu,https://entrepreneurship.unl.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Nevada Reno,unr,unr.edu,NV,YES,University of Nevada Reno Innovation,https://www.unr.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of New Hampshire,unh,unh.edu,NH,YES,University of New Hampshire Innovation,https://innovation.unh.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of New Mexico,unm,unm.edu,NM,YES,University of New Mexico Innovation,https://innovation.unm.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of North Carolina Chapel Hill,unc,unc.edu,NC,YES,University of North Carolina Chapel Hill Innovation,https://innovation.unc.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Oklahoma,ou,ou.edu,OK,YES,University of Oklahoma Innovation,https://innovation.ou.edu,https://innovation.ou.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Oregon,uoregon,uoregon.edu,OR,YES,University of Oregon Innovation,https://www.uoregon.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Pennsylvania,upenn,upenn.edu,PA,YES,Penn Wharton Entrepreneurship,https://entrepreneurship.wharton.upenn.edu,,known_database,HIGH,Known program without API,2026-02-24
University of Pittsburgh,pitt,pitt.edu,PA,YES,University of Pittsburgh Innovation,https://innovation.pitt.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Rochester,rochester,rochester.edu,NY,YES,University of Rochester Ventures,https://www.rochester.edu/ventures,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
University of South Carolina,sc,sc.edu,SC,YES,University of South Carolina Startup Program,https://scstartups.com,,url_pattern,MEDIUM,"Found 4 innovation URLs, no portfolio found",2026-02-24
University of Southern California,usc,usc.edu,CA,YES,University of Southern California Innovation,https://innovation.usc.edu,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
University of Texas Austin,utexas,utexas.edu,TX,YES,University of Texas Austin Entrepreneurship,https://www.utexas.edu/entrepreneurship,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Utah,utah,utah.edu,UT,YES,University of Utah Innovation,https://innovation.utah.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
University of Vermont,uvm,uvm.edu,VT,YES,University of Vermont Innovation,https://www.uvm.edu/innovation,https://www.uvm.edu/innovation/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Washington,uw,washington.edu,WA,YES,University of Washington Innovation,https://www.washington.edu/innovation,https://www.washington.edu/innovation/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Wisconsin Madison,wisc,wisc.edu,WI,YES,University of Wisconsin Madison Innovation,https://innovation.wisc.edu,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
University of Wyoming,uwyo,uwyo.edu,WY,YES,University of Wyoming Innovation,https://www.uwyo.edu/innovation,https://www.uwyo.edu/innovation/portfolio,url_pattern,HIGH,"Found 3 innovation URLs, has portfolio",2026-02-24
Vanderbilt University,vanderbilt,vanderbilt.edu,TN,YES,Vanderbilt University Innovation,https://www.vanderbilt.edu/innovation,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Washington State University,wsu,wsu.edu,WA,YES,Washington State University Entrepreneurship,https://entrepreneurship.wsu.edu,,url_pattern,MEDIUM,"Found 1 innovation URLs, no portfolio found",2026-02-24
Washington University in St Louis,wustl,wustl.edu,MO,YES,Washington University in St Louis Innovation,https://innovation.wustl.edu,,url_pattern,MEDIUM,"Found 2 innovation URLs, no portfolio found",2026-02-24
Yale University,yale,yale.edu,CT,YES,Yale University Ventures,https://ventures.yale.edu,,url_pattern,MEDIUM,"Found 4 innovation URLs, no portfolio found",2026-02-24
