startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Persana AI,Sales Agents with 100+ data sources to close more deals,https://www.persana.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Kyber,"Instantly draft, review, and send complex regulatory notices.",https://askkyber.com,,"New York, NY, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Escape,The only DAST that works with modern stack and tests business logic,https://escape.tech,,"New York, NY, USA",Winter 2023,,Y Combinator,29.0,,,,,Y Combinator,False,0.0,
Keeling Labs,We develop ML that optimizes how batteries in the grid store energy,http://keelinglabs.com,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Modulari-T,We teach your immune system to attack and cure cancer,https://modularit.bio,,"Montreal, QC, Canada; San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Skyhook,"PaaS-like experience with the power of Kubernetes, on your cloud",https://skyhook.io,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Metal,Institutional Intelligence for Private Equity,https://metal.ai/,,"New York, NY, USA",Winter 2023,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Texel.ai,Run AI pipelines 10x faster,https://texel.ai,,Remote,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Vector,Advertising for the new internet,https://vector.co,,"Boston, MA, USA",Winter 2023,,Y Combinator,20.0,,,,,Y Combinator,False,0.0,
Pier,Stripe for Credit - Trusted Credit Compliance Partner,http://www.pier-finance.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Verata,Network Intelligence for Investors,https://www.veratainsight.com/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Finni Health,Empowering Autism Care Providers to Go Independent,https://www.finnihealth.com/,,,Winter 2023,,Y Combinator,40.0,,,,,Y Combinator,False,0.0,
Invitris,Creating new protein-based drugs at scale,https://invitris.com/,,"Munich, BY, Germany",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Adventris Pharmaceuticals,Adventris makes cancer vaccines,https://adventris.com,,"Baltimore, MD, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Untether Labs,Scheduling software for digital health clinics to do more with less.,https://untetherlabs.com,,,Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Edge,The ultimate patent assistant.,https://withedge.com,,Remote,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Benchmark,Decision infrastructure for investment firms,https://withbenchmark.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Vocode,Open source Voice AI,https://vocode.dev,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.4,
Wallbit,Neobank for global remote workers,https://wallbit.io,,"Buenos Aires, CABA, Argentina",Winter 2023,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Vellum,The AI Product Development Platform,https://www.vellum.ai/,,"New York, NY, USA",Winter 2023,,Y Combinator,23.0,,,,,Y Combinator,True,0.2,
rex.fit,Automating nutrition tracking.,https://www.rex.fit,,"Zürich, ZH, Switzerland",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Persist AI,Developing long-lasting drug formulations 50% faster,http://www.persist-ai.com,,"Woodland, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Berry,Scale customer success and onboarding with AI ,https://berryai.com/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.2,
Conduit,Air Traffic Control for Warehouses,http://helloconduit.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,9.0,,,,,Y Combinator,False,0.0,
SuperAPI,Programmable API gateway that makes APIs cacheable,https://trysuperapi.com,,"Chennai, TN, India; Bengaluru, KA, India",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Unstatiq,Single source of truth for your clinic's finances and supply chain.,https://www.unstatiq.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Resend,Email for developers,https://resend.com,,Remote,Winter 2023,,Y Combinator,23.0,,,,,Y Combinator,False,0.0,
Decohere,Real-time generative AI,https://decohere.ai,,"Seattle, WA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.55,
Constant,AI Analysts for the Buy-Side,https://useconstant.com,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Common Paper,The SAFE for commercial contracts,https://commonpaper.com/,,"Philadelphia, PA, USA; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Dill,"Dill helps construction suppliers automate accounts receivable,…",https://usedill.com/,,,Winter 2023,,Y Combinator,,,,,,Y Combinator,False,0.0,
Hindsight,Deal Intelligence and Sales Coaching Platform,https://www.usehindsight.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Littio,Dollar banking for people in Latin America,https://www.littio.co/,,"Bogotá, Bogota, Colombia",Winter 2023,,Y Combinator,37.0,,,,,Y Combinator,False,0.0,
Thread,Lifeline for your business,https://www.usethread.io,,"Chattanooga, TN, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Waza,B2B payments platform for emerging markets.,https://waza.co/,,"Lagos, LA, Nigeria",Winter 2023,,Y Combinator,28.0,,,,,Y Combinator,False,0.0,
Rivet,Open-Source alternative to Durable Objects,https://rivet.dev,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Tagsafe,,http://www.tagsafe.io,,"Los Angeles, CA, USA; Remote",Winter 2023,,Y Combinator,,,,,,Y Combinator,False,0.0,
Invopop,We help global software companies comply with local tax reporting ,https://www.invopop.com/,,"Madrid, Community of Madrid, Spain",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Turntable,AI-native operating system for analytics teams,https://www.turntable.so,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.4,
Corgi Labs,AI to increase payment acceptance and reduce fraud for businesses,https://www.corgilabs.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Stralis Aircraft,Emission free hydrogen electric aircraft,https://stralis.aero/,,"Brisbane, QLD, Australia",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Holacasa,End-to-end mortgage solution in LatAm,https://www.holacasa.mx/,,"Mexico City, CDMX, Mexico",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
Epsilon,AI Search Engine for Academic Research,https://www.epsilon-ai.com,,"New York, NY, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Clad,Project management software for infrastructure.,https://withclad.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Pylon,The only customer support platform built for B2B.,https://usepylon.com/?utm_source=bookface&utm_medium=referral&utm_campaign=pylon-profile,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,70.0,,,,,Y Combinator,False,0.0,
Peeba,Risk-free wholesale for retailers across Southeast Asia,http://peeba.com/,,"Jakarta, Jakarta, Indonesia",Winter 2023,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Diffuse Bio,Generative AI for protein design,http://diffuse.bio,,"San Carlos, CA, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,True,0.55,
inBuild,Workflow Automation for Construction Finance ,https://www.inbuild.ai/,,"Wilmington, DE, USA; San Francisco, CA, USA; Aspen, CO, USA",Winter 2023,,Y Combinator,12.0,,,,,Y Combinator,True,0.2,
Sanvivo,Shopify for pharmacies in Europe,http://www.sanvivo.eu,,"Munich, BY, Germany",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Clearspace,Eliminate compulsive phone usage,https://getclearspace.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Univerbal,Language learning with a conversational AI Tutor,https://univerbal.app,,"Zürich, ZH, Switzerland",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.4,
Milio,B2B-2C real-time account to account payments,http://www.miliopay.com,,"Bogotá, Bogota, Colombia",Winter 2023,,Y Combinator,16.0,,,,,Y Combinator,False,0.0,
Mantys,ARR Reporting and Forecasting for SaaS companies,https://www.mantys.io/,,"Bengaluru, KA, India",Winter 2023,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Proglix,B2B Marketplace for Steel Raw Materials,https://proglix.com/,,"Jakarta, Jakarta, Indonesia",Winter 2023,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
Coldreach,Find the best leads with custom intent signals,https://coldreach.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
MagnaPlay,AI-powered game translation.,https://magnaplay.com,,Remote,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.4,
Shekel Mobility,B2B marketplace for Auto Dealers in Africa,https://www.shekelmobility.com/,,"Lagos, LA, Nigeria; San Francisco, CA, USA",Winter 2023,,Y Combinator,18.0,,,,,Y Combinator,False,0.0,
Rally Tax,AI-native tax platform to save $1T+ for Americans,https://www.rally.tax/,,"Mountain View, CA, USA; Remote",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Loula,Enabling birth & postpartum doulas to easily accept insurance.,https://joinloula.com,,"New York, NY, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Sirdab,Cloud warehousing & supply chain platform in MENA,https://sirdab.co/en,,"Riyadh, Riyadh Province, Saudi Arabia",Winter 2023,,Y Combinator,,,,,,Y Combinator,False,0.0,
Retape,AI workers for debt settlement,https://www.retape.ai/,,Remote,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Clueso,Create beautiful videos & docs for any product or process in minutes,https://clueso.io,,"Bengaluru, KA, India",Winter 2023,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
SuperKalam,AI-Powered Super Mentor for Test Prep,https://superkalam.com,,"Bengaluru, KA, India",Winter 2023,,Y Combinator,20.0,,,,,Y Combinator,True,0.4,
Fastgen,Webflow for the Backend,https://fastgen.com,,"New York, NY, USA; Berlin, Berlin, Germany",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Vendah,Vendah is building a Faire-style marketplace for LATAM’s +50M…,https://vendah.com.br/,,"São Paulo, SP, Brazil",Winter 2023,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Alaan,Modern finance platform for the Middle East,https://www.alaan.com/,,"Dubai, Dubai, United Arab Emirates",Winter 2023,,Y Combinator,160.0,,,,,Y Combinator,False,0.0,
CombineHealth,Automating Healthcare Revenue Cycle Management with AI Workforce,https://www.combinehealth.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,15.0,,,,,Y Combinator,True,0.2,
Odigos Technologies Inc.,Enterprise-Grade OpenTelemetry,https://odigos.io,,"Boston, MA, USA",Winter 2023,,Y Combinator,16.0,,,,,Y Combinator,False,0.0,
nunu.ai,Building the first multimodal agents to play and test games.,https://nunu.ai,,,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Hona,The Domino's Pizza Tracker for lawyers and their clients.,https://hona.com,,"Orem, UT, USA",Winter 2023,,Y Combinator,64.0,,,,,Y Combinator,False,0.0,
Radical,"Building persistent, high-performance infrastructure in the sky",https://www.radicalaero.com/,,"Seattle, WA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Vitalize,The OS for Hospital Operations,https://vitalize.care,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Noya Software,Product design tool that lets everyone design like a designer,https://noya.io,,Remote,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Infinia,Move money programmatically,https://www.infiniaweb.com/,,,Winter 2023,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Hippo Scribe,AI assisted documentation for PT/OT/SLP,https://gethipposcribe.com,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Koywe,Crypto On and Off Ramp for Latam,https://koywe.com,,"Miami, FL, USA; Santiago, Santiago Metropolitan Region, Chile; Mexico City, CDMX, Mexico; Remote",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Finic,Detect and investigate financial crimes with AI,https://www.finic.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Honeydew,The home for shared data logic,https://honeydew.ai,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Sherloq,"One place for all your queries, directly on your SQL editor",http://sherloqdata.io/,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
SPRX,AI for corporate R&D tax credits,https://sprx.tax,,,Winter 2023,,Y Combinator,32.0,,,,,Y Combinator,True,0.2,
Shortbread,Read romance comics.,https://www.shortbread.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Pointwise,App that tells you which credit cards to get and when,http://www.getpointwise.com,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Hadrius,Automating Securities Compliance,https://www.hadrius.com,,"New York, NY, USA",Winter 2023,,Y Combinator,43.0,,,,,Y Combinator,False,0.0,
Sage AI,"Your self-generating, self-maintaining code knowledge base.",https://sage-ai.dev,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
FactIQ,Data Explorer for the US Economy,https://factiq.com/,,"Singapore, Singapore",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Boundary,The programming language for AI,https://www.boundaryml.com,,"Seattle, WA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
ClickPe,Finance on a Click,https://clickpe.ai/,,"Surat, GJ, India",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
compliant-llm,Detect every data leak into third-party GenAI tools,https://www.compliantllm.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Looooooops,Agents for personal use cases,https://lo8ps.com,,,Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Fintool,Financial copilot for institutional investors,https://www.fintool.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Variance,AI Agents for Fraud Review and Investigations,https://www.variance.co/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.2,
222,the AI social facilitator for offline human to human interactions,https://222.place,,"New York, NY, USA",Winter 2023,,Y Combinator,16.0,,,,,Y Combinator,True,0.2,
Ariglad,Knowledge base maintenance on auto-pilot,https://www.ariglad.com/,,"Vancouver, BC, Canada; Remote",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Berilium,Invest in top Private Equity and Private Credit starting at $10k,https://berilium.com/,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Homeflow,Simplifying insurance for large real estate investors,https://www.homeflow.me/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Helicone,LLM Observability for Developers,https://www.helicone.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.35,
Rainmaker,DeFi for Everyone,http://www.rainmaker.nyc,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
IcePanel,Design and explain complex software architecture.,https://icepanel.io,,"North Vancouver, BC, Canada",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Storyboarder,Tool and platform to create and sell webcomics,https://storyboarder.com,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
1stCollab,Performance-Optimized Influencer Marketing at Scale,https://1stcollab.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,11.0,,,,,Y Combinator,False,0.0,
Logital AI (Teclada),Compare models and ouputs without random noise skewing your results.,https://www.logital.ai,,"Sunnyvale, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Orchid,AI-powered EHR for independent mental health professionals,https://orchid.health,,"San Francisco, CA, USA; New York, NY, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.4,
Overlord,AI Accountability Partner,https://www.overlord.app/,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
TableFlow,AI Teammates for Data Tasks,https://tableflow.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Truewind,AI-Powered Accounting,https://www.trytruewind.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,30.0,,,,,Y Combinator,True,0.4,
BuildJet,High-performance computing cloud,https://buildjet.com,,"Berlin, Berlin, Germany; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
ShortLoop,Phone AI that Captures Every Dealership Revenue Opportunity,https://shortloop.dev/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.2,
Wild Moose,Automating root cause analysis with generative AI,https://wildmoose.ai,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.55,
Velos,Platform to automate manual back-office work,https://www.tryvelos.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Inkeep,Build AI Agent teammates and automations in code or no-code,https://inkeep.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,17.0,,,,,Y Combinator,True,0.2,
Plutis,,https://plutis.io,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
RUUF,Managed marketplace for solar in Latam,https://www.ruuf.cl,,"Santiago, Santiago Metropolitan Region, Chile",Winter 2023,,Y Combinator,23.0,,,,,Y Combinator,False,0.0,
Propexo,Plaid for Commercial Real Estate,https://propexo.com,,"Boston, MA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Iliad,"Create stylized art, textures, and 3D assets with AI.",https://iliad.ai,,"Pittsburgh, PA, USA",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,True,0.2,
Relace,Models and infra for coding agents,https://relace.ai,,,Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Floworks,Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA,https://floworks.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,20.0,,,,,Y Combinator,True,0.2,
Extend,The Modern Document Processing Cloud,https://www.extend.ai/,,"New York, NY, USA",Winter 2023,,Y Combinator,13.0,,,,,Y Combinator,False,0.0,
Langfuse,Open source LLM engineering platform,https://langfuse.com,,"Berlin, Berlin, Germany",Winter 2023,,Y Combinator,13.0,,,,,Y Combinator,True,0.35,
co.dev,Turn your ideas into full-stack apps,https://co.dev/?ref=YC,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
DataSuite,Dataset Management for AI Trainers,https://truthsuite.com,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.2,
Bluedot,Bluedot is a single payment platform for EV drivers and fleets.,https://thebluedot.co/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Dream3D,Generative AI Worlds,https://dream3d.com,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.55,
Kivo Health,AI-powered virtual care for chronic lung disease,https://kivohealth.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,25.0,,,,,Y Combinator,True,0.4,
coil inc.,ai,http://www.trycoil.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,True,0.2,
Haven,AI workforce for property management,https://www.usehaven.ai/,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Suger,"Salesforce for Cloud marketplaces on AWS, Azure, GCP",https://www.suger.io/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,50.0,,,,,Y Combinator,False,0.0,
Cobblestone,Delinquency reduction and automation software for institutional…,https://getcobblestone.com,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Frigade,AI-powered product assistance for modern software teams,https://frigade.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.4,
Repacket,Employee security done for you.,https://repacket.com,,"Vancouver, BC, Canada",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Polo,Building restaurant software that works.,https://polotab.com,,"Mexico City, CDMX, Mexico",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Cloudchipr,Workflow Automation for Cloud Operations,https://cloudchipr.com/,,"Berlin, Berlin, Germany; Hamburg, HH, Germany; Yerevan, Yerevan, Armenia; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.2,
Athina AI,"Prototype, Experiment & Evaluate AI Pipelines in a Spreadsheet-like UI",https://athina.ai,,Remote,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Chart,Realtime Access to Verified Tax Records,https://trychart.com,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Bujeti,Corporate cards and expenses management platform for African…,https://www.bujeti.com,,"Lagos, LA, Nigeria; Paris, Île-de-France, France; Remote",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Alloy,AI Prototyping for Product Management,https://alloy.app,,,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Cosine,Fully Agentic SWE,http://www.cosine.sh,,"London, England, United Kingdom",Winter 2023,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Flower,Train AI on distributed data,https://flower.ai,,Remote,Winter 2023,,Y Combinator,20.0,,,,,Y Combinator,True,0.2,
Pirros,Github for Construction,http://pirros.com,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,44.0,,,,,Y Combinator,False,0.0,
LinkGrep,AI browser copilot for teams,https://linkgrep.com,,"San Francisco, CA, USA; New York, NY, USA; Jacksonville, FL, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Scanbase,"The API for Diagnostic Test Analysis (COVID-19, FLU, RSV, STD,…",https://www.scanbase.com,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Vooma,Automation platform for logistics,https://www.vooma.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Coperniq,Workflow software for solar & energy contractors ☀️😎,https://coperniq.io,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
GovEagle,AI for Government Contractors,https://www.goveagle.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,9.0,,,,,Y Combinator,True,0.2,
PoplarML,Deploy Machine Learning Models with One Command,http://poplarml.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.35,
infra.new,AI Agent for Cloud Infrastructure,https://infra.new,,Remote,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
FlexWash,The operating system for the car wash industry.,https://www.flexwashtech.com/,,"Temecula, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Gluetrail,Create step by step articles with screenshots and videos 10x faster,https://www.gluetrail.com,,"Paris, Île-de-France, France; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
JustPaid,Billing Automation for B2B that actually works.,https://www.justpaid.ai,,"Mountain View, CA, USA; Remote",Winter 2023,,Y Combinator,20.0,,,,,Y Combinator,True,0.2,
